model,target,n,detected,missed,recall,latency_mean_ms,cost_total_usd
gpt-5.4-nano,apple,13,5,8,0.38461538461538464,1687.8392999999967,0.00864685
gpt-5.4-nano,banana,13,6,7,0.46153846153846156,1813.4837076923106,0.008661849999999999
gpt-5.4-nano,bottle of water,8,0,8,0.0,1840.1195875000055,0.00536575
gpt-5.4-nano,cheese,12,7,5,0.5833333333333334,2072.0859916666636,0.008033299999999998
gpt-5.4-nano,coca cola,7,2,5,0.2857142857142857,1585.8772142857204,0.004735350000000001
gpt-5.4-nano,eggs,9,6,3,0.6666666666666666,1610.899622222225,0.0059862000000000005
gpt-5.4-nano,fanta,9,1,8,0.1111111111111111,1905.1635111111125,0.0060947499999999995
gpt-5.4-nano,garlic,7,0,7,0.0,1956.5647142857147,0.0046765
gpt-5.4-nano,lemon,10,0,10,0.0,1774.94718,0.006702
gpt-5.4-nano,lettuce,7,2,5,0.2857142857142857,1728.3762857142863,0.0046915
gpt-5.4-nano,meat,12,6,6,0.5,1904.0025583333304,0.008070400000000002
gpt-5.4-nano,milk,9,8,1,0.8888888888888888,1698.2094888888955,0.00609225
gpt-5.4-nano,orange juice,7,1,6,0.14285714285714285,2451.044028571419,0.0047447
gpt-5.4-nano,pepper,7,0,7,0.0,1818.289828571429,0.00469525
gpt-5.4-nano,pineapple,13,2,11,0.15384615384615385,1894.4397769230784,0.008628100000000001
gpt-5.4-nano,potatoes,7,0,7,0.0,1792.479628571432,0.0047192499999999995
gpt-5.4-nano,yogurt,8,0,8,0.0,1712.6869625000083,0.0054445
gpt-5.4-mini,apple,13,13,0,1.0,1790.0796923076996,0.0319245
gpt-5.4-mini,banana,13,13,0,1.0,1898.7870769230688,0.031740000000000004
gpt-5.4-mini,bottle of water,8,5,3,0.625,1910.7041000000108,0.019725
gpt-5.4-mini,cheese,12,12,0,1.0,2651.0317833333374,0.0296145
gpt-5.4-mini,coca cola,7,5,2,0.7142857142857143,3467.870200000001,0.01730025
gpt-5.4-mini,eggs,9,9,0,1.0,1736.4426888888968,0.022052249999999995
gpt-5.4-mini,fanta,9,6,3,0.6666666666666666,1824.6744666666739,0.022373999999999998
gpt-5.4-mini,garlic,7,5,2,0.7142857142857143,2530.3988000000004,0.0172035
gpt-5.4-mini,lemon,10,9,1,0.9,1969.3245999999988,0.024544500000000004
gpt-5.4-mini,lettuce,7,3,4,0.42857142857142855,1922.1190428571617,0.017325000000000004
gpt-5.4-mini,meat,12,9,3,0.75,2085.9110000000005,0.0298665
gpt-5.4-mini,milk,9,9,0,1.0,1986.7615555555428,0.02232
gpt-5.4-mini,orange juice,7,6,1,0.8571428571428571,2259.9641857142874,0.01738875
gpt-5.4-mini,pepper,7,4,3,0.5714285714285714,1789.7308285714237,0.017244000000000002
gpt-5.4-mini,pineapple,13,13,0,1.0,1869.174084615373,0.031803000000000005
gpt-5.4-mini,potatoes,7,6,1,0.8571428571428571,1859.0400428571375,0.0172065
gpt-5.4-mini,yogurt,8,8,0,1.0,1716.5881624999813,0.019909499999999997
