model,target,n,detected,missed,recall,latency_mean_ms,cost_total_usd
gpt-5.4,apple,13,13,0,1.0,2318.814984615388,0.106355
gpt-5.4,banana,13,13,0,1.0,2445.2008461538503,0.10608499999999998
gpt-5.4,bottle of water,8,7,1,0.875,2340.5561749999997,0.06563000000000001
gpt-5.4,cheese,12,12,0,1.0,2816.964724999997,0.09880500000000002
gpt-5.4,coca cola,7,7,0,1.0,2394.701842857143,0.0578925
gpt-5.4,eggs,9,9,0,1.0,2770.3412444444443,0.0737025
gpt-5.4,fanta,9,8,1,0.8888888888888888,2765.9826777777835,0.074385
gpt-5.4,garlic,7,7,0,1.0,2169.7149714285756,0.056985
gpt-5.4,lemon,10,10,0,1.0,2497.1076299999954,0.080975
gpt-5.4,lettuce,7,6,1,0.8571428571428571,2646.1544000000104,0.05763
gpt-5.4,meat,12,12,0,1.0,2392.1383749999995,0.0993
gpt-5.4,milk,9,9,0,1.0,2281.3729333333395,0.07402500000000001
gpt-5.4,orange juice,7,7,0,1.0,2918.1084428571385,0.058067499999999994
gpt-5.4,pepper,7,7,0,1.0,2026.2097999999958,0.057045
gpt-5.4,pineapple,13,13,0,1.0,2661.657807692305,0.10601
gpt-5.4,potatoes,7,7,0,1.0,2135.3034857142848,0.05719000000000001
gpt-5.4,yogurt,8,7,1,0.875,2184.6423499999974,0.06636500000000001
